timestamp,ship_type,length,width,max_draught,min_draught,draught_variability,mean_moving_speed,max_speed,std_speed,sog_p10,sog_median,sog_p90,frac_time_slow,frac_time_fast,cog_variability,rot_mean_abs,rot_std,heading_cog_diff_mean,n_nav_statuses,fishing_ratio,anchor_ratio,underway_engine_ratio,moored_ratio,lat_std,lon_std,lat_mean,lon_mean,bbox_area,CargoX_ratio,CargoY_ratio,CargoZ_ratio,CargoOS_ratio,CargoReserved_ratio,n_pings,time_span_seconds,length_beam_ratio,draught_length_ratio,sog_bimodality,mean_ping_interval_seconds,week_start,imo
2026-04-20T00:00:00.000000,Cargo,155.0,17.0,5.1,5.1,0.0,9.83012048192771,10.7,2.777701538945958,6.8,10.1,10.4,0.07909604519774012,0.5969868173258004,31.846072172732686,0.0,0.0,8.546139359698682,2,0.0,0.054613935969868174,0.9453860640301318,0.0,1.7376361551055612,4.04121243754107,56.65615442561205,1.6376497005649715,39.524571174111,0.0,0.0,0.0,0.0,0.0,531,182317,9.11764652249138,0.03290322559417273,1.2960351043802105,343.9943396226415,2026-04-20T00:00:00.000000,9419292
2026-03-09T00:00:00.000000,Cargo,238.0,34.0,6.9,6.3,0.6000000000000005,19.197705849603565,22.4,5.19045875014712,15.6,19.7,21.4,0.047608576140736665,0.9161077515118197,92.21294446472106,2.7881287910718537,5.011347791709072,8.059455001924169,3,0.0,0.0,0.9819314641744549,0.018050210738501007,0.4388590094564795,1.464406049918944,57.467035875719255,9.713199508832693,420.773230573204,0.0,0.0,0.0,0.0,0.0,54570,409978,6.999999794117653,0.028991596516842032,1.1174347320265035,7.513020212941414,2026-03-09T00:00:00.000000,9832597
2025-07-21T00:00:00.000000,Cargo,68.0,14.0,3.3,3.1,0.19999999999999973,4.397207792207792,6.1,2.272969721762018,0.0,0.6,4.7,0.5084635416666666,0.0,89.77881879388504,0.0,0.0,33.65858585858586,2,0.0,0.035807291666666664,0.9641927083333334,0.0,0.09188889422673122,0.07863554916472026,54.32990326692709,13.848603347330728,0.10425715307699902,0.0,0.0,0.0,0.0,0.0,3072,592892,4.857142510204107,0.04852941105103807,2.0677785045803567,193.06154347118203,2025-07-21T00:00:00.000000,9808871
2025-08-04T00:00:00.000000,Cargo,169.0,25.0,6.0,6.0,0.0,11.147315199774503,12.7,0.8703525102292717,10.0,11.2,12.2,0.0,0.8972725673060004,52.87454634208809,0.0,0.0,1.708304559227679,1,0.0,0.0,1.0,0.0,0.8498527599915652,1.9302583327375438,56.62381747341194,11.318436839063876,21.82501738570001,0.0,0.0,0.0,0.0,0.0,28415,137048,6.75999972960001,0.03550295836980498,2.527708539281317,4.823256141338777,2025-08-04T00:00:00.000000,9104811
2026-02-16T00:00:00.000000,Cargo,190.0,32.0,8.8,6.5,2.3000000000000007,10.057128405563857,13.9,4.714117215834151,0.1,9.7,13.0,0.21895748241178906,0.47519657412238875,70.81368013981792,0.0,0.0,29.346832387642984,2,0.0,0.1990571639347212,0.8009428360652788,0.0,0.5758159762905917,1.1729137958431965,57.26245843894057,10.992900534141823,11.10659484089501,0.0,0.0,0.0,0.0,0.0,55577,165479,5.9374998144531315,0.0463157892299169,2.7364608627485123,2.977526270332518,2026-02-16T00:00:00.000000,9630731
2026-06-22T00:00:00.000000,Cargo,134.0,16.0,8.6,8.5,0.09999999999999964,11.124863825696892,12.6,0.49902238144504196,10.4,11.1,11.8,0.0,0.9829541813521308,57.313194605672265,0.0,0.0,2.61863932500267,1,0.0,0.0,1.0,0.0,1.1629270542893375,1.598969666749572,56.23001070150592,11.245160611833814,33.26790057418803,0.0,0.0,0.0,0.0,0.0,46815,182119,8.374999476562532,0.0641791039986634,2.8054797671924,3.8902678685863203,2026-06-22T00:00:00.000000,9255622
2025-08-18T00:00:00.000000,Cargo,90.0,13.0,6.3,4.1,2.2,6.874715359828142,13.3,4.137678277697814,0.3,6.6,11.1,0.1939495174461767,0.2208611729769859,114.95417111339657,0.0,0.0,17.85588344469191,3,0.0,0.011135857461024499,0.9799554565701559,0.008908685968819599,0.8172925883146219,0.6608262297240912,54.476337225315504,8.01019756328879,10.102122306150001,0.0,0.0,0.0,0.0,0.0,5388,603028,6.923076390532586,0.06999999922222223,2.610158805254009,111.94134026359755,2025-08-18T00:00:00.000000,9136137
2025-12-15T00:00:00.000000,Cargo,138.0,21.0,6.4,6.4,0.0,12.459175217048145,13.8,0.8271449742628232,12.0,12.5,13.3,0.0,0.9899368587213891,25.225785593626455,0.3637924230465667,1.9899305380851855,3.0762233622730863,1,0.0,0.0,1.0,0.0,0.4087319785130812,1.6840158676528485,54.90968139877664,12.794850644830309,7.56546251083899,0.0,0.0,0.0,0.0,0.0,5068,65993,6.571428258503416,0.046376811258139056,1.5716693793481844,13.02407736333136,2025-12-15T00:00:00.000000,9453793
2025-10-13T00:00:00.000000,Cargo,74.0,11.0,4.5,4.5,0.0,9.898447006083893,11.1,0.48737050974023294,9.2,9.9,10.5,0.0,0.3739993595901377,24.460618368053428,0.0,0.0,2.3638488632724943,1,0.0,0.0,1.0,0.0,0.08571417497483577,0.8077596915625339,54.54932536087096,11.534880214857507,1.0587358412279952,0.0,0.0,0.0,0.0,0.0,6246,50730,6.727272115702536,0.06081080998904311,2.6673697046692277,8.123298638911129,2025-10-13T00:00:00.000000,8912481
2025-12-15T00:00:00.000000,Cargo,205.0,30.0,10.1,8.9,1.1999999999999993,15.948683523886332,18.2,1.4396430440374557,14.2,16.3,17.3,0.0008533434470334463,0.9932917723469316,110.56389298036432,1.8596250029629982,2.5295043665294843,1.182108058130438,2,0.0,0.00016592789247872567,0.9998340721075213,0.0,1.1886142022127169,2.0716599330817713,56.035406423542796,10.859891943063028,45.78748643812803,1.0,0.0,0.0,0.0,0.0,42187,348005,6.833333105555563,0.049268292442593696,2.1533100580238624,8.249300715877306,2025-12-15T00:00:00.000000,9961312
